[1] 年齢を重ねても健康な体はたった1日で
[234] 筋肉骨や関節脳そして血液の巡り
[235] です年を重ねるにつれて多くの方が不安に
[236] 感じることは健康診断の数字だけではあり
[237] ませんいつか足腰が以前のようにしっかり
[238] しなくなること階段の上り下りが辛くなる
[239] ことそして家族との外出の機会が少しずつ
[240] 減ってしまうことそうした変化を心配さ
[241] れる方も多いのではないでしょうか年齢を
[242] 重ねても自分らしく生活を続けるためには
[243] 筋肉と骨を守ることを決して軽く考えては
[244] いけませんそしてここにこそイワシの
[245] 大きな価値がありますタンパク質は筋肉の
[246] 維持を支えますビタミンDとカルシウムは
[247] 骨の健康を維持に役立ちますさらにイワシ
[248] に含まれるDHAやEPAは血管の健康を
[249] 支え体を内側からしなやかに保つ助けに
[250] なります以前ある高齢の男性からお話を
[251] 聞いたことがあります退職してから毎日の
[252] 食事を以前より大切に考えるようになった
[253] そうです手軽なものだけで済ませるのでは
[254] なく焼いたイワシのような簡単な料理を
[255] 用意し温かいご飯や野菜と一緒に食べる
[256] ようにしていましたそれは特別な健康法だ
[257] と思っていたからではありませんこれから
[258] も自分の足で歩き自分のことを自分で行い
[259] 毎日の生活を楽しみたいただそう思って
[260] 続けていた習慣だったそうですそのような
[261] 素朴な考え方こそ年齢を重ねた時にとても
[262] 大切なのですイワシを上手に取り入れるに
[263] は焼く
[264] 蒸かす野菜と一緒に煮るまたは忙しい時に
[265] は塩分控えめの缶詰を利用する方法もあり
[266] ます小さなイワシを骨ごと食べられる場合
[267] はカルシウムの補給にもつながります週に
[268] 2回から3回ほど取り入れることができれ
[269] ばとても良い習慣になりますイワシの価値
[270] はたった1つの栄養素だけにあるわけでは
[271] ありませんタンパク質良質な脂質ビタミン
[272] そしてミネラルこれらが一緒に含まれて
[273] いることにあります年齢を重ねて
[274] も健康な体にはしっかりとした土台が必要
[275] ですそしてその土台は丈夫な足腰を保つ
[276] こと強い骨を守ること血管を健やかに保つ
[277] ことそして好きなことを楽しめる
[278] だけの体力を維持することから作られて
[279] いきますだからこそイワシのような小さな
[280] 魚が健康で自由に動けて生き生きとした
[281] 毎日を過ごすための大切なパートナーに
[282] なってくれるのです動画を終える前に皆様
[283] へ小さな贈り物をお伝えしたいと思います
[284] これまでお話ししてきたようにイワシや
[285] 黒豆のような栄養豊かな食べ物も体が
[286] しっかり消化しその栄養をきちんと吸収
[287] できてこそ本来の価値を発揮してくれます
[288] そこで
[289] 毎回の食事の後に1分もかからない簡単な
[290] お腹をリラックス習慣を試してみて
[291] ください椅子に座ったまま背筋を伸ばし肩
[292] の力を抜いて呼吸をゆっくり整えます
[293] そして人差し指中指薬指の3本の指先を
[294] 揃えてくださいその指先を溝落ち
[295] の下からおへその上あたりまでのお腹の上
[296] の部分にそっと当てます鼻からゆっくり
[297] 深く息を吸いますその後口から少しずつ息
[298] を吐きながら指先でお腹を優しく押し約3
[299] 秒間そのまま持ちますそして力を抜きます
[300] これを5回ほど繰り返せば十分です昔から
[301] 伝わる養生の考え方では深い呼吸とお腹へ
[302] の優しい刺激を組み合わせることで体を
[303] リラックスさせ消化の自然な動きを支え
[304] 食後の心地よさにつながると考えられてい
[305] ます本当に小さな動きですしかし毎日
[306] 続けることで体に少し休みましょう
[307] という合図を送りよりリラックスした状態
[308] を作り日々の消化を労わる習慣になるかも
[309] しれません是非次のお食事の後から試して
[310] みてくださいね最後までご覧いただき本当
[311] にありがとうございました今日のお話が
[312] 少しでもお役に立ちましたら是非高評価
[313] チャンネル登録そして通知ボタンを押して
[314] これからも一緒に健康について学んでいき
[315] ましょう皆様がいつまでも健やかで
[316] しっかりとした足取りを保ち毎日
[317] をたくさんのと共に過ごせますようにそれ
[318] ではまた次回の動画でお会いしましょう
